se_lon,se_lat,re_lon,re_lat,se_busID,re_busID
-76.86462112058298,39.120378823608654,-76.86500511620025,39.12043782723136,411707_187_161377_473,31314202505
-76.86921012271236,39.13174982334275,-76.86922211819787,39.13166082945046,31214102015,411307_518_162629_345
-76.86876611652714,39.131565826681495,-76.8682951112935,39.13139182381096,411346_96_162618_855,411387_712_162599_597
-76.87040912323242,39.132327824188266,-76.87007212302207,39.13215982272202,411204_782_162703_244,31214102517
-76.86390911473003,39.124144823801934,-76.86396711650269,39.12412982085569,31214402000,31214402001
-76.86419711146378,39.11993382681038,-76.86420511184308,39.11939581827764,411743_927_161328_127,31314202001
-76.87656511955919,39.13523182882434,-76.8760631251145,39.13494182983551,31214102504,410715_536_162992_755
-76.86967511716645,39.12250382504816,-76.8701041204012,39.12310982417338,411269_802_161612_74,411232_609_161679_961
-76.85685011231749,39.12431282587218,-76.85711311552987,39.12466882532108,412378_506_161815_224,412355_702_161854_709
-76.86860311193962,39.12312782426554,-76.8688191158936,39.1227618213506,411362_402_161682_145,31314102505
-76.86549911837737,39.12301682034015,-76.86514411775401,39.12371082556802,31314202509,411661_414_161747_302
-76.86831912008537,39.12361782575205,-76.86860311193962,39.12312782426554,31314102503,411362_402_161682_145
-76.85304610648265,39.12660182721508,-76.85262411744829,39.126571823383806,31213302014,412743_527_162066_584
-76.87656511955919,39.13523182882434,-76.87693911781979,39.13476382857712,31214102504,410639_826_162972_892
-76.8641591102499,39.12317982290451,-76.86421411970838,39.12250882195959,411746_677_161688_48,411742_031_161613_983
-76.87764812238677,39.13391482715088,-76.87801711779383,39.13342882929216,410578_653_162878_559,410546_822_162824_564
-76.87728311676725,39.13568482494197,-76.87729111639757,39.1356538280838,31215202102,410609_26_163071_653
-76.85791010990536,39.12417382611781,-76.85756411746465,39.12384682323641,412286_871_161799_65,31313102033_9981091
-76.87439712159775,39.13419182306096,-76.87440611721837,39.13424582614572,31214102514,410858_904_162915_685
-76.86633311138719,39.12556682304921,-76.8665131201578,39.12497381954139,31214402003,411542_829_161887_337
-76.87178211560337,39.13317682619026,-76.87144611261587,39.13294582842511,411085_939_162797_327,31214102101_4854916
-76.86804111218136,39.12407181949231,-76.86831912008537,39.12361782575205,411410_848_161787_011,31314102503
-76.86964712102842,39.13194082768848,-76.86921012271236,39.13174982334275,411270_727_162660_376,31214102015
-76.87308011384506,39.13215182248168,-76.87442812420163,39.130822822354666,410973_872_162683_381,410857_524_162535_683
-76.86514411775401,39.12371082556802,-76.86467211303832,39.124318821882994,411661_414_161747_302,411702_129_161814_858
-76.86422611016293,39.12155882201409,-76.86421712076172,39.120900826177525,31314202002,31314202003
-76.8726091145166,39.133573824061145,-76.87221511883267,39.13341782846532,411014_375_162841_299,31214102010
-76.86660711767318,39.130657822954845,-76.86645211934983,39.13003382059723,31214402503,411547_282_162449_072
-76.86423411706312,39.12032082413175,-76.86462112058298,39.120378823608654,31314202004,411707_187_161377_473
-76.8749701184916,39.13442382197309,-76.87494011896823,39.13440882782325,31214102005,410812_71_162933_717
-76.85741410995573,39.126207828733975,-76.85788310826376,39.12629082097987,31213302503,31213302040
-76.85518311726605,39.1258498203056,-76.85417710778175,39.12580882091878,412522_382_161986_078,412609_378_161981_665
-76.86626711602173,39.12880482025308,-76.86613611733233,39.12720682594984,31214402506,31214402010
-76.87220411936066,39.1334758274628,-76.87220911816509,39.13344882717587,411049_406_162830_469,31214102503
-76.8760631251145,39.13494182983551,-76.87583411549203,39.13482082738157,410715_536_162992_755,31214102505
-76.86467211303832,39.124318821882994,-76.86401411943034,39.12494982302668,411702_129_161814_858,31214402504
-76.87442712198256,39.13415382378405,-76.87413312026388,39.13402382148883,31214102513,410882_541_162891_072
-76.87007212302207,39.13215982272202,-76.86964712102842,39.13194082768848,31214102517,411270_727_162660_376
-76.86749211273603,39.12509382624654,-76.86777511443213,39.1245828193013,411458_156_161900_536,411433_767_161843_772
-76.85262411744829,39.126571823383806,-76.85211211301035,39.12651682456544,412743_527_162066_584,TIEPOINT_31213302510
-76.87730511796825,39.135636826794645,-76.87763612043689,39.13580782768043,31215202522,TIEPOINT_31215202517
-76.87535412023084,39.13461982880208,-76.87499912331884,39.13443882406237,31214102001,410807_604_162937_04
-76.85682311714667,39.1242858231232,-76.85685011231749,39.12431282587218,31213302085_9981126,412378_506_161815_224
-76.86364012082153,39.12526181979183,-76.86297111490082,39.12560882695162,411791_21_161919_676,411849_001_161958_285
-76.87583411549203,39.13482082738157,-76.87544511737906,39.13559382509704,31214102505,410768_869_163065_208
-76.86921012271236,39.13174982334275,-76.86876611652714,39.131565826681495,31214102015,411346_96_162618_855
-76.85304610648265,39.12660182721508,-76.85308510797547,39.12666682332675,31213302014,31213302015
-76.87494011896823,39.13440882782325,-76.87471711857414,39.134292828971134,410812_71_162933_717,410832_008_162920_866
-76.87499912331884,39.13443882406237,-76.8749701184916,39.13442382197309,410807_604_162937_04,31214102005
-76.86831912008537,39.12361782575205,-76.86758011161186,39.12351482503394,31314102503,411450_801_161725_235
-76.87177912337302,39.131481820593415,-76.87308011384506,39.13215182248168,31214302509,410973_872_162683_381
-76.87102212017196,39.135786828580166,-76.87056911789699,39.13637282539417,411151_239_163087_165,411190_312_163152_274
-76.85788310826376,39.12629082097987,-76.85830611160405,39.1263808269782,31213302040,31213302039
-76.86420511184308,39.11939581827764,-76.8642081139343,39.11914382434284,31314202001,TIEPOINT_31314202007
-76.86421712076172,39.120900826177525,-76.86423411706312,39.12032082413175,31314202003,31314202004
-76.87221511883267,39.13341782846532,-76.87220911816509,39.13344882717587,31214102010,31214102503
-76.87304012097384,39.133698826144325,-76.8726091145166,39.133573824061145,31214102008,411014_375_162841_299
-76.86576111776532,39.12056182526528,-76.86647111548703,39.12066382264948,31314202042,411547_161_161408_876
-76.87079111884535,39.13236082754753,-76.87126711815239,39.13192982685469,411171_749_162706_861,411130_661_162658_956
-76.87222211623228,39.134421822438185,-76.87163811353237,39.13512082909647,411047_703_162935_485,411098_086_163013_155
-76.87069197361939,39.132400353062806,-76.87079111884535,39.13236082754753,PROTDEV_4904635,411171_749_162706_861
-76.87725111496023,39.134403821122696,-76.87764812238677,39.13391482715088,410612_905_162932_89,410578_653_162878_559
-76.8770031146603,39.13547882679121,-76.87656511955919,39.13523182882434,410634_186_163052_259,31214102504
-76.87494011896823,39.13440882782325,-76.8749701184916,39.13442382197309,410812_71_162933_717,31214102005
-76.86959912132322,39.122305827005775,-76.86967511716645,39.12250382504816,31314102004,411269_802_161612_74
-76.86401411943034,39.12494982302668,-76.86388311990532,39.12446382779995,31214402504,411770_33_161831_057
-76.8682951112935,39.13139182381096,-76.86779211495295,39.13120682932303,411387_712_162599_597,31214302501
-76.87060712318325,39.13243382293685,-76.87040912323242,39.132327824188266,31214102501,411204_782_162703_244
-76.86411311364753,39.12346082636321,-76.8641591102499,39.12317982290451,411750_608_161719_681,411746_677_161688_48
-76.86423511925477,39.12201882315426,-76.86422611016293,39.12155882201409,31314202047,31314202002
-76.87801711779383,39.13342882929216,-76.87838011829572,39.13294882327121,410546_822_162824_564,410515_508_162771_235
-76.87342412248627,39.13379882395908,-76.87304012097384,39.133698826144325,31214102007,31214102008
-76.86633311138719,39.12556682304921,-76.86719011364389,39.12569982662936,31214402003,411484_172_161967_848
-76.87366811606007,39.14051282589307,-76.87452911436263,39.13938282645138,31114302550,31114302551
-76.86925112152213,39.12197082120904,-76.86935511254828,39.121778824760106,411306_551_161553_622,31314102504
-76.86421411970838,39.12250882195959,-76.86423611001588,39.12212982019051,411742_031_161613_983,411740_192_161571_906
-76.86779211495295,39.13120682932303,-76.86660711767318,39.130657822954845,31214302501,31214402503
-76.85756411746465,39.12384682323641,-76.85679011445971,39.12425582239091,31313102033_9981091,412383_704_161808_904
-76.87144611261587,39.13294582842511,-76.87107711464212,39.13270182199068,31214102101_4854916,411146_968_162744_681
-81.51796145596731,37.58985733360807,-81.51795945884601,37.58982634126801,SOURCE_7773-1,31114303147
-76.86613611733233,39.12720682594984,-76.86620811639176,39.12613382004675,31214402010,411569_014_162016_151
-76.8688191158936,39.1227618213506,-76.86916911956608,39.12212181993262,31314102505,411313_618_161570_395
-76.87729111639757,39.1356538280838,-76.87730511796825,39.135636826794645,410609_26_163071_653,31215202522
-76.85825711604488,39.12449282111502,-76.85791010990536,39.12417382611781,412256_81_161835_016,412286_871_161799_65
-76.86401411943034,39.12494982302668,-76.86364012082153,39.12526181979183,31214402504,411791_21_161919_676
-76.86390911473003,39.124144823801934,-76.86404311642008,39.123858824098775,31214402000,31314202011
-76.86388311990532,39.12446382779995,-76.86390911473003,39.124144823801934,411770_33_161831_057,31214402000
-76.87693911781979,39.13476382857712,-76.87725111496023,39.134403821122696,410639_826_162972_892,410612_905_162932_89
-76.87413312026388,39.13402382148883,-76.87342412248627,39.13379882395908,410882_541_162891_072,31214102007
-76.86613611733233,39.12720682594984,-76.86620412088644,39.127230828668175,31214402010,411569_181_162137_934
-76.87221511883267,39.13341782846532,-76.87178211560337,39.13317682619026,31214102010,411085_939_162797_327
-76.86645211934983,39.13003382059723,-76.86626711602173,39.12880482025308,411547_282_162449_072,31214402506
-76.87177912337302,39.131481820593415,-76.87230811689516,39.13101182420508,31214302509,411040_797_162556_919
-76.85679011445971,39.12425582239091,-76.85682311714667,39.1242858231232,412383_704_161808_904,31213302085_9981126
-81.51795545785801,37.589763337687714,-81.51795145120093,37.58970133546022,31114303132,TIEPOINT_31114303153
-81.51795545785801,37.589763337687714,-81.51785645372935,37.58976733907529,31114303132,4932737
-76.87471711857414,39.134292828971134,-76.87442712198256,39.13415382378405,410832_008_162920_866,31214102513
-76.86297111490082,39.12560882695162,-76.85865811307076,39.1247458249636,411849_001_161958_285,412222_092_161863_049
-76.86626611907225,39.125866827991295,-76.86633311138719,39.12556682304921,411564_042_161986_504,31214402003
-76.85768411805604,39.1254148279087,-76.85741410995573,39.126207828733975,412306_198_161937_448,31213302503
-76.86719011364389,39.12569982662936,-76.86749211273603,39.12509382624654,411484_172_161967_848,411458_156_161900_536
-76.85417710778175,39.12580882091878,-76.85304610648265,39.12660182721508,412609_378_161981_665,31213302014
-76.86423411706312,39.12032082413175,-76.86419711751333,39.1199488250524,31314202004,411743_924_161329_792
-76.87583411549203,39.13482082738157,-76.87535412023084,39.13461982880208,31214102505,31214102001
-76.85741410995573,39.126207828733975,-76.85518311726605,39.1258498203056,31213302503,412522_382_161986_078
-81.51795945884601,37.58982634126801,-81.51795545785801,37.589763337687714,31114303147,31114303132
-76.85308510797547,39.12666682332675,-76.8531441148677,39.12664882735823,31213302015,31213302022
-76.87442712198256,39.13415382378405,-76.87439712159775,39.13419182306096,31214102513,31214102514
-76.86404311642008,39.123858824098775,-76.8640611190302,39.1237698195068,31314202011,31314202520
-76.87060712318325,39.13243382293685,-76.87069197361939,39.132400353062806,31214102501,PROTDEV_4904635
-76.86777511443213,39.1245828193013,-76.86804111218136,39.12407181949231,411433_767_161843_772,411410_848_161787_011
-76.86916911956608,39.12212181993262,-76.86925112152213,39.12197082120904,411313_618_161570_395,411306_551_161553_622
-76.87220911816509,39.13344882717587,-76.87220411936066,39.1334758274628,31214102503,411049_406_162830_469
-76.87220411936066,39.1334758274628,-76.87222211623228,39.134421822438185,411049_406_162830_469,411047_703_162935_485
-76.85865811307076,39.1247458249636,-76.85825711604488,39.12449282111502,412222_092_161863_049,412256_81_161835_016
-76.86500511620025,39.12043782723136,-76.86576111776532,39.12056182526528,31314202505,31314202042
-76.86620811639176,39.12613382004675,-76.86626611907225,39.125866827991295,411569_014_162016_151,411564_042_161986_504
-76.8701041204012,39.12310982417338,-76.87042312065955,39.12326382574935,411232_609_161679_961,411205_161697_018
-76.8665131201578,39.12497381954139,-76.8671681123938,39.12347382306822,411542_829_161887_337,31314202510
-76.87126711815239,39.13192982685469,-76.87177912337302,39.131481820593415,411130_661_162658_956,31214302509
-76.87163811353237,39.13512082909647,-76.87102212017196,39.135786828580166,411098_086_163013_155,411151_239_163087_165
-76.87107711464212,39.13270182199068,-76.87060712318325,39.13243382293685,411146_968_162744_681,31214102501
-76.85711311552987,39.12466882532108,-76.85768411805604,39.1254148279087,412355_702_161854_709,412306_198_161937_448
-76.87730511796825,39.135636826794645,-76.8770031146603,39.13547882679121,31215202522,410634_186_163052_259
-76.86935511254828,39.121778824760106,-76.86959912132322,39.122305827005775,31314102504,31314102004
-76.8671681123938,39.12347382306822,-76.86549911837737,39.12301682034015,31314202510,31314202509
-76.8640611190302,39.1237698195068,-76.86411311364753,39.12346082636321,31314202520,411750_608_161719_681
-76.86423611001588,39.12212982019051,-76.86423511925477,39.12201882315426,411740_192_161571_906,31314202047
-76.8640611190302,39.1237698195068,-76.86411811625058,39.12375382444618,31314202520,411750_127_161752_207
-76.86419711751333,39.1199488250524,-76.86419711146378,39.11993382681038,411743_924_161329_792,411743_927_161328_127
-76.86423511925477,39.12201882315426,-76.86486411637813,39.12198382461752,31314202047,411685_91_161555_618
-76.85532611167385,39.12652282669709,-76.85508211152822,39.12757982255606,31213302064,412530_811_162178_145
-76.85496410807164,39.127655820651285,-76.85496410807164,39.127655820651285,31213302048_LEG1,31213302048_LEG1_SEC_0
-76.86306911765693,39.12498882608836,-76.86306911765693,39.12498882608836,411840_63_161889_444,411840_63_161889_444_SEC_0
-76.86420511184308,39.11939581827764,-76.86521311589792,39.11980382600269,31314202001,411656_088_161313_565
-76.86922211819787,39.13166082945046,-76.8697921159904,39.130080825638544,411307_518_162629_345,411258_485_162453_873
-76.85749611245527,39.12829882300539,-76.85765011759533,39.12841882464193,31213302051,412308_618_162270_936
-76.87042811178247,39.12635082433142,-76.87042811178247,39.12635082433142,411204_082_162039_715,411204_082_162039_715_SEC_0
-76.85536911138507,39.126311823830086,-76.85532611167385,39.12652282669709,412506_218_162037_341,31213302064
-76.85599811169422,39.12906582799865,-76.85599552870556,39.12906776153008,412451_347_162342_986,PROTDEV_10174392
-76.85506726612026,39.12757209340863,-76.85506411142497,39.1275708283969,PROTDEV_10174512,TIEPOINT_10173607
-76.87442812420163,39.130822822354666,-76.87479311906674,39.13065482770666,410857_524_162535_683,410825_991_162516_99
-76.86411811625058,39.12375382444618,-76.86317211879869,39.12387382657746,411750_127_161752_207,411831_909_161765_651
-76.8754391190036,39.13352482683959,-76.8754391190036,39.13352482683959,410769_701_162835_522,410769_701_162835_522_SEC_0
-76.85607511261834,39.12911782626843,-76.8560901137551,39.12912882535439,412444_68_162348_748,TIEPOINT_10173442
-76.85499911629614,39.12761582370403,-76.85501295346789,39.12762456950924,31213302047_LEG1,PROTDEV_10173622
-76.86311311794017,39.122767825666536,-76.86311311794017,39.122767825666536,411837_195_161642_878,411837_195_161642_878_SEC_0
-76.87342412248627,39.13379882395908,-76.8755851232993,39.13194182216717,31214102007,410757_317_162659_77
-76.85851210792497,39.12640882027969,-76.85981011542503,39.12728482526365,412234_431_162047_683,412122_045_162144_758
-76.87750311574115,39.13253982429553,-76.87889111951716,39.13236882805032,410591_395_162725_932,31215202015
-76.87304012315177,39.13660582400249,-76.87304012315177,39.13660582400249,410976_642_163177_84,410976_642_163177_84_SEC_0
-76.85501610818302,39.1276258255144,-76.85501876547104,39.127627143959714,412536_51_162183_261,PROTDEV_10174527
-76.8707651152046,39.12859582874827,-76.8707651152046,39.12859582874827,411174_589_162288_899,411174_589_162288_899_SEC_0
-76.85358311690233,39.12651582494956,-76.85375911287389,39.12646482555762,31213302072,31213302020
-76.85677311017636,39.12117482356649,-76.85677311017636,39.12117482356649,412385_711_161466_875,412385_711_161466_875_SEC_0
-76.85593369410537,39.1290308881485,-76.85593369410537,39.1290308881485,PROTDEV_10173432,PROTDEV_10173432_SEC_0
-76.8616271144765,39.12378382488667,-76.8616271144765,39.12378382488667,411965_523_161755_861,411965_523_161755_861_SEC_0
-76.86396711650269,39.12412982085569,-76.86126511399208,39.12473082500777,31214402001,411996_666_161861_038
-76.86423511925477,39.12201882315426,-76.86419711928951,39.12201882416697,31314202047,31314202049
-76.85220911095574,39.12459582391961,-76.85265011046404,39.12395682438833,31213302044,31313102018_LEG2
-76.85601111434204,39.12905282751444,-76.85601111434204,39.12905282751444,31213302017_LEG1,31213302017_LEG1_SEC_0
-76.87838011829572,39.13294882327121,-76.87884412292998,39.13258182577224,410515_508_162771_235,410475_444_162730_44
-76.85600011218125,39.12908882770125,-76.85749611245527,39.12829882300539,31213302017_LEG3,31213302051
-76.86626711602173,39.12880482025308,-76.86459611810669,39.12895482046319,31214402506,31214402007
-76.86747212253641,39.131289827273946,-76.86747212253641,39.131289827273946,411458_886_162588_377,411458_886_162588_377_SEC_0
-76.87889111951716,39.13236882805032,-76.87894911940712,39.131935823220296,31215202015,410466_461_162658_713
-76.86976311350756,39.12796982154825,-76.86976311350756,39.12796982154825,411261_327_162219_527,411261_327_162219_527_SEC_0
-76.87416811740584,39.136135827472486,-76.87417711777852,39.13612182983177,410879_192_163125_529,31214102526_LEG3
-76.85375911287389,39.12646482555762,-76.8559301072958,39.12900882331927,31213302020,31213302018_LEG1
-76.85503311163978,39.1276358273366,-76.85533011196024,39.12655182817961,31213302047_LEG3,31213302063
-76.8536081093874,39.1265548244995,-76.85361632920655,39.12656744587626,412658_446_162064_56,PROTDEV_10173792
-76.87325912373433,39.13687882951732,-76.87416811848158,39.13615482515841,410957_666_163208_121,31214102526_LEG2
-76.85265011046404,39.12395682438833,-76.85265011046404,39.12395682438833,31313102018_LEG2,31313102018_LEG2_SEC_0
-76.85607511261834,39.12911782626843,-76.85607252962988,39.129119759801526,412444_68_162348_748,PROTDEV_10174382
-76.86788911408313,39.131089826680686,-76.86788911408313,39.131089826680686,411422_864_162566_122,411422_864_162566_122_SEC_0
-76.87332511325381,39.12899682795884,-76.87332511325381,39.12899682795884,410953_175_162333_105,410953_175_162333_105_SEC_0
-76.8697921159904,39.130080825638544,-76.8697921159904,39.130080825638544,411258_485_162453_873,411258_485_162453_873_SEC_0
-76.85757511519101,39.128442820733405,-76.85607611648928,39.129141824625805,412315_099_162273_61,31213302016_LEG3
-76.85502526390881,39.12761069450401,-76.85501111269936,39.12760282208128,PROTDEV_10173617,31213302047_LEG2
-76.87888111602086,39.132381825149146,-76.87750311574115,39.13253982429553,31215202014,410591_395_162725_932
-76.85599811169422,39.12906582799865,-76.85601410945054,39.12907582843874,412451_347_162342_986,412449_962_162344_094
-76.87042312065955,39.12326382574935,-76.87020011915881,39.12381781951903,411205_161697_018,411224_196_161758_546
-76.8604151181721,39.1227368268025,-76.8604151181721,39.1227368268025,412070_504_161639_79,412070_504_161639_79_SEC_0
-76.86795511194381,39.12663482282554,-76.86795511194381,39.12663482282554,411417_873_162071_549,411417_873_162071_549_SEC_0
-76.85360683094926,39.12655226464889,-76.85359811347156,39.126539822808496,PROTDEV_10173802,31213302066_LEG2
-76.87417711777852,39.13612182983177,-76.87418611462472,39.1361098229349,31214102526_LEG3,410877_64_163122_64
-76.86923411520851,39.132155828120695,-76.86923411520851,39.132155828120695,411306_402_162684_295,411306_402_162684_295_SEC_0
-76.87728311676725,39.13568482494197,-76.87760312081394,39.13550582099794,31215202102,410582_307_163055_186
-76.86859411334906,39.13133282421585,-76.86859411334906,39.13133282421585,411361_869_162593_01,411361_869_162593_01_SEC_0
-76.8560891078559,39.12910582687479,-76.85607710590256,39.12911582895566,31213302016_LEG1,PROTDEV_10173447
-76.85503110845778,39.12761432292234,-76.85504511007854,39.12762182583237,PROTDEV_10174522,412534_003_162182_813
-76.85592852810872,39.12903476421635,-76.85591610966564,39.129044828824505,PROTDEV_10174367,31213302018_LEG3
-81.51785645372935,37.58976733907529,-76.87194412431253,39.14182482962273,4932737,411070_585_163757_353
-76.87426411577282,39.14208282292324,-76.87381012353164,39.14060582328243,410869_983_163785_715,410909_457_163621_802
-76.855898614231,39.12903482202567,-76.85586211848769,39.12898982307557,31213302018_LEG4-1,412463_119_162334_567
-76.85501111269936,39.12760282208128,-76.85503511158983,39.12757382820563,31213302047_LEG2,31213302046_LEG1
-76.85441311794985,39.127646823209446,-76.85496410807164,39.127655820651285,31213302060,31213302048_LEG1
-76.85361811687237,39.12656982620403,-76.85370910772104,39.12698682705879,31213302066_LEG3,412649_636_162112_504
-76.87479311906674,39.13065482770666,-76.87479311906674,39.13065482770666,410825_991_162516_99,410825_991_162516_99_SEC_0
-76.85607611648928,39.129141824625805,-76.85608807276924,39.12913153423524,31213302016_LEG3,PROTDEV_10174377
-76.85499411614508,39.12765182222696,-76.85499096144754,39.12765055721328,412538_407_162186_15,PROTDEV_10173627
-76.85601611431885,39.12907382213331,-76.85602711007265,39.12906382783051,PROTDEV_10173452,31213302017_LEG2
-76.87028911524388,39.1254748200774,-76.87028911524388,39.1254748200774,411216_239_161942_484,411216_239_161942_484_SEC_0
-76.85594611254355,39.12902082353843,-76.85601111434204,39.12905282751444,31213302018_LEG2,31213302017_LEG1
-76.85749211196634,39.12830982583343,-76.85606011119233,39.12912982442473,31213302052,412445_975_162350_082
-76.85713811049612,39.12221482209013,-76.85713811049612,39.12221482209013,412353_967_161582_279,412353_967_161582_279_SEC_0
-76.85370910772104,39.12698682705879,-76.85471911187642,39.12796182297266,412649_636_162112_504,31213302074
-76.86396711650269,39.12412982085569,-76.85635011259693,39.12141882656913,31214402001,412422_247_161494_02
-76.85359698925147,39.12657470013172,-76.85359911281864,39.12657682865718,PROTDEV_10173797,31213302066_LEG4
-76.86852411484263,39.134023825742,-76.86947712289603,39.13475282950134,31214102014,411284_979_162972_567
-76.8549811135675,39.12766482260288,-76.85498424388607,39.12766670012611,412539_529_162187_595,PROTDEV_10174537
-76.85358011351207,39.126547826393725,-76.85358782485883,39.12656025797063,31213302066_LEG1,PROTDEV_10173807
-76.86297411241705,39.12171282397199,-76.86297411241705,39.12171282397199,411849_391_161525_777,411849_391_161525_777_SEC_0
